Designator,Mid X,Mid Y,Rotation,Layer
D1,34.5,-67.8,270.0,bottom
D10,118.0,-120.0,270.0,bottom
D11,91.5,-53.2,270.0,bottom
D12,91.5,-72.2,270.0,bottom
D13,91.5,-91.2,270.0,bottom
D14,137.5,-120.0,270.0,bottom
D15,110.5,-53.0,270.0,bottom
D16,110.5,-72.1,270.0,bottom
D17,110.5,-91.0,270.0,bottom
D18,155.5,-121.8,270.0,bottom
D19,129.5,-53.0,270.0,bottom
D2,34.5,-85.6,270.0,bottom
D20,129.5,-72.1,270.0,bottom
D21,129.5,-91.0,270.0,bottom
D22,156.9,-134.4,180.0,bottom
D3,34.5,-104.6,270.0,bottom
D4,53.5,-67.8,270.0,bottom
D5,53.5,-85.6,270.0,bottom
D6,53.5,-104.4,270.0,bottom
D7,72.4,-62.2,270.0,bottom
D8,72.5,-79.9,270.0,bottom
D9,72.5,-98.9,270.0,bottom
J1,151.8,-96.45,90.0,top
SW1,26.399998,-69.7,0.0,bottom
SW10,108.808182,-115.50291,344.283,bottom
SW11,83.399998,-50.7,0.0,bottom
SW12,83.399998,-69.7,0.0,bottom
SW13,83.399998,-88.7,0.0,bottom
SW14,129.399998,-112.7,0.0,bottom
SW15,102.399998,-55.7,0.0,bottom
SW16,102.399998,-74.7,0.0,bottom
SW17,102.399998,-93.7,0.0,bottom
SW18,149.999998,-115.511939,15.718999999999994,bottom
SW19,121.399998,-55.7,0.0,bottom
SW2,26.399998,-88.7,0.0,bottom
SW20,121.399998,-74.7,0.0,bottom
SW21,121.399998,-93.7,0.0,bottom
SW22,166.599998,-127.9,31.473000000000013,bottom
SW23,153.27,-87.3,270.0,bottom
SW3,26.399998,-107.7,0.0,bottom
SW4,45.399998,-69.7,0.0,bottom
SW5,45.399998,-88.7,0.0,bottom
SW6,45.399998,-107.7,0.0,bottom
SW7,64.399998,-57.7,0.0,bottom
SW8,64.399998,-76.7,0.0,bottom
SW9,64.399998,-95.7,0.0,bottom
U1,144.09,-64.37,0.0,bottom
