Designator,Mid X,Mid Y,Rotation,Layer
BT1,51.325,-128.9,0.0,top
BT2,90.325,-116.9,0.0,top
BT3,87.1,-58.5,0.0,top
BT4,125.825,-56.5,0.0,top
BT5,362.275,-128.9,0.0,top
BT6,323.275012,-116.9,0.0,top
BT7,287.8,-56.5,0.0,top
BT8,326.5,-58.5,0.0,top
D1,57.550012,-78.799998,270.0,bottom
D10,141.050012,-130.999998,270.0,bottom
D11,114.550012,-64.199998,270.0,bottom
D12,114.550012,-83.199998,270.0,bottom
D13,114.550012,-102.199998,270.0,bottom
D14,160.550012,-130.999998,270.0,bottom
D15,133.550012,-63.999998,270.0,bottom
D16,133.550012,-83.099998,270.0,bottom
D17,133.550012,-101.999998,270.0,bottom
D18,178.550012,-132.799998,270.0,bottom
D19,152.550012,-63.999998,270.0,bottom
D2,57.550012,-96.599998,270.0,bottom
D20,152.550012,-83.099998,270.0,bottom
D21,152.550012,-101.999998,270.0,bottom
D22,179.950012,-145.399998,180.0,bottom
D3,57.550012,-115.599998,270.0,bottom
D4,76.550012,-78.799998,270.0,bottom
D5,76.550012,-96.599998,270.0,bottom
D6,76.550012,-115.399998,270.0,bottom
D7,95.450012,-73.199998,270.0,bottom
D8,95.550012,-90.899998,270.0,bottom
D9,95.550012,-109.899998,270.0,bottom
J1,174.850012,-107.449998,90.0,top
RD1,371.294928,-84.163562,270.0,bottom
RD10,287.744928,-131.549958,270.0,bottom
RD11,318.144928,-63.949958,270.0,bottom
RD12,318.144928,-82.949958,270.0,bottom
RD13,318.144928,-101.949958,270.0,bottom
RD14,268.644928,-128.149958,270.0,bottom
RD15,296.144928,-71.049958,270.0,bottom
RD16,295.644928,-88.749958,270.0,bottom
RD17,295.59493,-107.849958,270.0,bottom
RD18,249.59493,-131.249958,270.0,bottom
RD19,278.344928,-64.649958,270.0,bottom
RD2,371.244928,-103.249958,270.0,bottom
RD20,276.644928,-88.749958,270.0,bottom
RD21,276.644928,-107.749958,270.0,bottom
RD22,232.09493,-138.349958,270.0,bottom
RD3,371.244928,-122.249958,270.0,bottom
RD4,352.294928,-84.163562,270.0,bottom
RD5,352.244928,-103.249958,270.0,bottom
RD6,352.244928,-122.249958,270.0,bottom
RD7,333.444928,-73.549958,270.0,bottom
RD8,333.444928,-92.549958,270.0,bottom
RD9,333.444928,-111.549958,270.0,bottom
RJ1,238.746502,-107.470606,270.0,top
RSW1,364.144928,-80.699958,0.0,bottom
RSW10,281.743156,-126.520551,15.717000000000013,bottom
RSW11,307.144928,-61.699958,0.0,bottom
RSW12,307.144928,-80.699958,0.0,bottom
RSW13,307.144928,-99.699958,0.0,bottom
RSW14,261.144928,-123.699958,0.0,bottom
RSW15,288.144928,-66.699958,0.0,bottom
RSW16,288.144928,-85.699958,0.0,bottom
RSW17,288.144928,-104.699958,0.0,bottom
RSW18,240.546502,-126.520606,344.281,bottom
RSW19,269.144928,-66.699958,0.0,bottom
RSW2,364.144928,-99.699958,0.0,bottom
RSW20,269.144928,-85.699958,0.0,bottom
RSW21,269.144928,-104.699958,0.0,bottom
RSW22,223.944928,-138.899958,328.527,bottom
RSW23,237.276502,-98.320606,90.0,bottom
RSW3,364.144928,-118.699958,0.0,bottom
RSW4,345.144928,-80.699958,0.0,bottom
RSW5,345.144928,-99.699958,0.0,bottom
RSW6,345.144928,-118.699958,0.0,bottom
RSW7,326.144928,-68.699958,0.0,bottom
RSW8,326.144928,-87.699958,0.0,bottom
RSW9,326.144928,-106.699958,0.0,bottom
RU1,246.454928,-75.379958,0.0,bottom
SW1,49.45001,-80.699998,0.0,bottom
SW10,131.858194,-126.502908,344.283,bottom
SW11,106.45001,-61.699998,0.0,bottom
SW12,106.45001,-80.699998,0.0,bottom
SW13,106.45001,-99.699998,0.0,bottom
SW14,152.45001,-123.699998,0.0,bottom
SW15,125.45001,-66.699998,0.0,bottom
SW16,125.45001,-85.699998,0.0,bottom
SW17,125.45001,-104.699998,0.0,bottom
SW18,173.05001,-126.511937,15.718999999999994,bottom
SW19,144.45001,-66.699998,0.0,bottom
SW2,49.45001,-99.699998,0.0,bottom
SW20,144.45001,-85.699998,0.0,bottom
SW21,144.45001,-104.699998,0.0,bottom
SW22,189.65001,-138.899998,31.473000000000013,bottom
SW23,176.320012,-98.299998,270.0,bottom
SW3,49.45001,-118.699998,0.0,bottom
SW4,68.45001,-80.699998,0.0,bottom
SW5,68.45001,-99.699998,0.0,bottom
SW6,68.45001,-118.699998,0.0,bottom
SW7,87.45001,-68.699998,0.0,bottom
SW8,87.45001,-87.699998,0.0,bottom
SW9,87.45001,-106.699998,0.0,bottom
U1,167.140012,-75.369998,0.0,bottom
